CVE_ID,Package,Version,CVSSv3,Rating,Severity,Vector,Summary,Published,Link,OS
CVE-2017-8796,file,5.47,9.8,CRITICAL,CRITICAL,,"An issue was discovered on Accellion FTA devices before FTA_9_12_180. Because mysql_real_escape_string is misused, seos/courier/communication_p2p.php allows SQL injection with the app_id parameter.",2017-05-05T18:29:00.510,https://nvd.nist.gov/vuln/detail/CVE-2017-8796,all
CVE-2015-8389,perl,5.42.0,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"PCRE before 8.38 mishandles the /(?:|a|){100}x/ pattern and related patterns, which allows remote attackers to cause a denial of service (infinite recursion) or possibly have unspecified other impact ",2015-12-02T01:59:13.417,https://nvd.nist.gov/vuln/detail/CVE-2015-8389,all
CVE-2015-8386,perl,5.42.0,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"PCRE before 8.38 mishandles the interaction of lookbehind assertions and mutually recursive subpatterns, which allows remote attackers to cause a denial of service (buffer overflow) or possibly have u",2015-12-02T01:59:10.400,https://nvd.nist.gov/vuln/detail/CVE-2015-8386,all
CVE-2015-8383,perl,5.42.0,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"PCRE before 8.38 mishandles certain repeated conditional groups, which allows remote attackers to cause a denial of service (buffer overflow) or possibly have unspecified other impact via a crafted re",2015-12-02T01:59:07.117,https://nvd.nist.gov/vuln/detail/CVE-2015-8383,all
CVE-2015-8390,perl,5.42.0,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"PCRE before 8.38 mishandles the [: and \\ substrings in character classes, which allows remote attackers to cause a denial of service (uninitialized memory read) or possibly have unspecified other imp",2015-12-02T01:59:14.370,https://nvd.nist.gov/vuln/detail/CVE-2015-8390,all
CVE-2015-8394,perl,5.42.0,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"PCRE before 8.38 mishandles the (?(<digits>) and (?(R<digits>) conditions, which allows remote attackers to cause a denial of service (integer overflow) or possibly have unspecified other impact via a",2015-12-02T01:59:18.667,https://nvd.nist.gov/vuln/detail/CVE-2015-8394,all
CVE-2026-8376,perl,5.42.0,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"Perl versions through 5.43.10 have a heap buffer overflow when compiling regular expressions with a repeated fixed string on 32-bit builds.

Perl_study_chunk in regcomp_study.c checked the size of the",2026-05-26T00:16:57.150,https://nvd.nist.gov/vuln/detail/CVE-2026-8376,all
CVE-2026-4176,perl,5.42.0,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"Perl versions from 5.9.4 before 5.40.4-RC1, from 5.41.0 before 5.42.2-RC1, from 5.43.0 before 5.43.9 contain a vulnerable version of Compress::Raw::Zlib.

Compress::Raw::Zlib is included in the Perl p",2026-03-29T21:16:15.717,https://nvd.nist.gov/vuln/detail/CVE-2026-4176,all
CVE-2026-7210,python3,3.14.4,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"`xml.parsers.expat` and `xml.etree.ElementTree` use insufficient entropy for Expat hash-flooding protection, which allows a crafted XML document to trigger hash flooding.\r\n\r\nFully mitigating this ",2026-05-11T18:16:42.413,https://nvd.nist.gov/vuln/detail/CVE-2026-7210,all
CVE-2007-4559,python3-dbus,1.4.0,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Directory traversal vulnerability in the (1) extract and (2) extractall functions in the tarfile module in Python allows user-assisted remote attackers to overwrite arbitrary files via a .. (dot dot) ,2007-08-28T01:17:00.000,https://nvd.nist.gov/vuln/detail/CVE-2007-4559,all
CVE-2016-5636,python3-dbus,1.4.0,9.8,CRITICAL,CRITICAL,,"Integer overflow in the get_data function in zipimport.c in CPython (aka Python) before 2.7.12, 3.x before 3.4.5, and 3.5.x before 3.5.2 allows remote attackers to have unspecified impact via a negati",2016-09-02T14:59:06.003,https://nvd.nist.gov/vuln/detail/CVE-2016-5636,all
CVE-2017-1000158,python3-dbus,1.4.0,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"CPython (aka Python) up to 2.7.13 is vulnerable to an integer overflow in the PyString_DecodeEscape function in stringobject.c, resulting in heap-based buffer overflow (and possible arbitrary code exe",2017-11-17T05:29:00.280,https://nvd.nist.gov/vuln/detail/CVE-2017-1000158,all
CVE-2022-48565,python3-dbus,1.4.0,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,An XML External Entity (XXE) issue was discovered in Python through 3.9.1. The plistlib module no longer accepts entity declarations in XML plist files to avoid XML vulnerabilities.,2023-08-22T19:16:32.007,https://nvd.nist.gov/vuln/detail/CVE-2022-48565,all
CVE-2026-7210,python3-dbus,1.4.0,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"`xml.parsers.expat` and `xml.etree.ElementTree` use insufficient entropy for Expat hash-flooding protection, which allows a crafted XML document to trigger hash flooding.\r\n\r\nFully mitigating this ",2026-05-11T18:16:42.413,https://nvd.nist.gov/vuln/detail/CVE-2026-7210,all
CVE-2024-8695,desktop-file-utils,0.28,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,A remote code execution (RCE) vulnerability via crafted extension description/changelog could be abused by a malicious extension in Docker Desktop before 4.34.2.,2024-09-12T18:15:11.333,https://nvd.nist.gov/vuln/detail/CVE-2024-8695,all
CVE-2024-8696,desktop-file-utils,0.28,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,A remote code execution (RCE) vulnerability via crafted extension publisher-url/additional-urls could be abused by a malicious extension in Docker Desktop before 4.34.2.,2024-09-12T18:15:11.490,https://nvd.nist.gov/vuln/detail/CVE-2024-8696,all
CVE-2024-52533,glib-networking,2.80.1,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,gio/gsocks4aproxy.c in GNOME GLib before 2.82.1 has an off-by-one error and resultant buffer overflow because SOCKS4_CONN_MSG_LEN is not sufficient for a trailing '\0' character.,2024-11-11T23:15:05.967,https://nvd.nist.gov/vuln/detail/CVE-2024-52533,all
CVE-2026-5450,glibc-gconv,2.43+git,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Calling the scanf family of functions with a %mc (malloc'd character match) in the GNU C Library version 2.7 to version 2.43 with a format width specifier with an explicit width greater than 1024 coul,2026-04-20T21:16:36.850,https://nvd.nist.gov/vuln/detail/CVE-2026-5450,all
CVE-2026-5450,glibc-gconv-iso8859-1,2.43+git,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Calling the scanf family of functions with a %mc (malloc'd character match) in the GNU C Library version 2.7 to version 2.43 with a format width specifier with an explicit width greater than 1024 coul,2026-04-20T21:16:36.850,https://nvd.nist.gov/vuln/detail/CVE-2026-5450,all
CVE-2015-7853,ntp,4.2.8p18,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"The datalen parameter in the refclock driver in NTP 4.2.x before 4.2.8p4, and 4.3.x before 4.3.77 allows remote attackers to execute arbitrary code or cause a denial of service (crash) via a negative ",2017-08-07T20:29:00.887,https://nvd.nist.gov/vuln/detail/CVE-2015-7853,all
CVE-2015-7705,ntp,4.2.8p18,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,The rate limiting feature in NTP 4.x before 4.2.8p4 and 4.3.x before 4.3.77 allows remote attackers to have unspecified impact via a large number of crafted requests.,2017-08-07T20:29:00.730,https://nvd.nist.gov/vuln/detail/CVE-2015-7705,all
CVE-2015-7853,ntp-tickadj,4.2.8p18,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"The datalen parameter in the refclock driver in NTP 4.2.x before 4.2.8p4, and 4.3.x before 4.3.77 allows remote attackers to execute arbitrary code or cause a denial of service (crash) via a negative ",2017-08-07T20:29:00.887,https://nvd.nist.gov/vuln/detail/CVE-2015-7853,all
CVE-2015-7705,ntp-tickadj,4.2.8p18,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,The rate limiting feature in NTP 4.x before 4.2.8p4 and 4.3.x before 4.3.77 allows remote attackers to have unspecified impact via a large number of crafted requests.,2017-08-07T20:29:00.730,https://nvd.nist.gov/vuln/detail/CVE-2015-7705,all
CVE-2026-7210,python3-codecs,3.14.4,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"`xml.parsers.expat` and `xml.etree.ElementTree` use insufficient entropy for Expat hash-flooding protection, which allows a crafted XML document to trigger hash flooding.\r\n\r\nFully mitigating this ",2026-05-11T18:16:42.413,https://nvd.nist.gov/vuln/detail/CVE-2026-7210,all
CVE-2026-7210,python3-compression,3.14.4,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"`xml.parsers.expat` and `xml.etree.ElementTree` use insufficient entropy for Expat hash-flooding protection, which allows a crafted XML document to trigger hash flooding.\r\n\r\nFully mitigating this ",2026-05-11T18:16:42.413,https://nvd.nist.gov/vuln/detail/CVE-2026-7210,all
CVE-2026-7210,python3-core,3.14.4,9.8,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"`xml.parsers.expat` and `xml.etree.ElementTree` use insufficient entropy for Expat hash-flooding protection, which allows a crafted XML document to trigger hash flooding.\r\n\r\nFully mitigating this ",2026-05-11T18:16:42.413,https://nvd.nist.gov/vuln/detail/CVE-2026-7210,all
CVE-2021-20651,file,5.47,9.1,CRITICAL,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,Directory traversal vulnerability in ELECOM File Manager all versions allows remote attackers to create an arbitrary file or overwrite an existing file in a directory which can be accessed with the ap,2021-02-12T07:15:15.497,https://nvd.nist.gov/vuln/detail/CVE-2021-20651,all
CVE-2016-2352,file,5.47,8.8,HIGH,HIGH,,The Accellion File Transfer Appliance (FTA) before FTA_9_12_40 allows remote authenticated users to execute arbitrary commands by leveraging the YUM_CLIENT restricted-user role.,2016-05-07T14:59:06.103,https://nvd.nist.gov/vuln/detail/CVE-2016-2352,all
CVE-2017-8793,file,5.47,8.8,HIGH,HIGH,,"An issue was discovered on Accellion FTA devices before FTA_9_12_180. By sending a POST request to home/seos/courier/web/wmProgressstat.html.php with an attacker domain in the acallow parameter, the d",2017-05-05T18:29:00.417,https://nvd.nist.gov/vuln/detail/CVE-2017-8793,all
CVE-2023-32986,file,5.47,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"Jenkins File Parameter Plugin 285.v757c5b_67a_c25 and earlier does not restrict the name (and resulting uploaded file name) of Stashed File Parameters, allowing attackers with Item/Configure permissio",2023-05-16T16:15:11.147,https://nvd.nist.gov/vuln/detail/CVE-2023-32986,all
CVE-2023-6846,file,5.47,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"The File Manager Pro plugin for WordPress is vulnerable to Arbitrary File Upload in all versions up to, and including, 8.3.4 via the mk_check_filemanager_php_syntax AJAX function. This makes it possib",2024-02-05T22:15:56.887,https://nvd.nist.gov/vuln/detail/CVE-2023-6846,all
CVE-2024-7559,file,5.47,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,The File Manager Pro plugin for WordPress is vulnerable to arbitrary file uploads due to missing file type validation and capability checks in the mk_file_folder_manager AJAX action in all versions up,2024-08-23T03:15:04.060,https://nvd.nist.gov/vuln/detail/CVE-2024-7559,all
CVE-2024-8507,file,5.47,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"The File Manager Pro plugin for WordPress is vulnerable to Cross-Site Request Forgery in all versions up to, and including, 8.3.9. This is due to missing or incorrect nonce validation on the 'mk_file_",2024-10-16T07:15:16.277,https://nvd.nist.gov/vuln/detail/CVE-2024-8507,all
CVE-2024-1538,file,5.47,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"The File Manager plugin for WordPress is vulnerable to Cross-Site Request Forgery in all versions up to, and including, 7.2.4. This is due to missing or incorrect nonce validation on the wp_file_manag",2024-03-21T04:15:09.117,https://nvd.nist.gov/vuln/detail/CVE-2024-1538,all
CVE-2024-7770,file,5.47,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,The Bit File Manager – 100% Free & Open Source File Manager and Code Editor for WordPress plugin for WordPress is vulnerable to arbitrary file uploads due to missing file type validation in the 'uploa,2024-09-10T11:15:10.780,https://nvd.nist.gov/vuln/detail/CVE-2024-7770,all
CVE-2026-35093,libinput-bin,1.30.2,8.8,HIGH,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,A flaw was found in libinput. A local attacker who can place a specially crafted Lua bytecode file in certain system or user configuration directories can bypass security restrictions. This allows the,2026-04-01T14:16:57.443,https://nvd.nist.gov/vuln/detail/CVE-2026-35093,all
CVE-2020-1171,python3,3.14.4,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"A remote code execution vulnerability exists in Visual Studio Code when the Python extension loads configuration files after opening a project, aka 'Visual Studio Code Python Extension Remote Code Exe",2020-05-21T23:15:17.897,https://nvd.nist.gov/vuln/detail/CVE-2020-1171,all
CVE-2024-49050,python3,3.14.4,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Visual Studio Code Python Extension Remote Code Execution Vulnerability,2024-11-12T18:15:45.810,https://nvd.nist.gov/vuln/detail/CVE-2024-49050,all
CVE-2017-17522,python3-dbus,1.4.0,8.8,HIGH,HIGH,,"Lib/webbrowser.py in Python through 3.6.3 does not validate strings before launching the program specified by the BROWSER environment variable, which might allow remote attackers to conduct argument-i",2017-12-14T16:29:00.713,https://nvd.nist.gov/vuln/detail/CVE-2017-17522,all
CVE-2019-13611,python3-dbus,1.4.0,8.8,HIGH,HIGH,,An issue was discovered in python-engineio through 3.8.2. There is a Cross-Site WebSocket Hijacking (CSWSH) vulnerability that allows attackers to make WebSocket connections to a server by using a vic,2019-07-16T00:15:10.837,https://nvd.nist.gov/vuln/detail/CVE-2019-13611,all
CVE-2020-1171,python3-dbus,1.4.0,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"A remote code execution vulnerability exists in Visual Studio Code when the Python extension loads configuration files after opening a project, aka 'Visual Studio Code Python Extension Remote Code Exe",2020-05-21T23:15:17.897,https://nvd.nist.gov/vuln/detail/CVE-2020-1171,all
CVE-2024-49050,python3-dbus,1.4.0,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Visual Studio Code Python Extension Remote Code Execution Vulnerability,2024-11-12T18:15:45.810,https://nvd.nist.gov/vuln/detail/CVE-2024-49050,all
CVE-2025-27607,python3-dbus,1.4.0,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Python JSON Logger is a JSON Formatter for Python Logging. Between 30 December 2024 and 4 March 2025 Python JSON Logger was vulnerable to RCE through a missing dependency. This occurred because msgspe,2025-03-07T17:15:22.433,https://nvd.nist.gov/vuln/detail/CVE-2025-27607,all
CVE-2020-1171,python3-packaging,26.0,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"A remote code execution vulnerability exists in Visual Studio Code when the Python extension loads configuration files after opening a project, aka 'Visual Studio Code Python Extension Remote Code Exe",2020-05-21T23:15:17.897,https://nvd.nist.gov/vuln/detail/CVE-2020-1171,all
CVE-2024-49050,python3-packaging,26.0,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Visual Studio Code Python Extension Remote Code Execution Vulnerability,2024-11-12T18:15:45.810,https://nvd.nist.gov/vuln/detail/CVE-2024-49050,all
CVE-2021-22879,desktop-file-utils,0.28,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"Nextcloud Desktop Client prior to 3.1.3 is vulnerable to resource injection by way of missing validation of URLs, allowing a malicious server to execute remote commands. User interaction is needed for",2021-04-14T13:15:13.040,https://nvd.nist.gov/vuln/detail/CVE-2021-22879,all
CVE-2020-12511,io,1.0,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Pepperl+Fuchs Comtrol IO-Link Master in Version 1.5.48 and below is prone to a Cross-Site Request Forgery (CSRF) in the web interface.,2021-01-22T19:15:11.880,https://nvd.nist.gov/vuln/detail/CVE-2020-12511,all
CVE-2015-7854,ntp,4.2.8p18,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"Buffer overflow in the password management functionality in NTP 4.2.x before 4.2.8p4, and 4.3.x before 4.3.77 allows remote authenticated users to cause a denial of service (daemon crash) or possibly ",2017-08-07T20:29:00.917,https://nvd.nist.gov/vuln/detail/CVE-2015-7854,all
CVE-2015-7849,ntp,4.2.8p18,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"Use-after-free vulnerability in ntpd in NTP 4.2.x before 4.2.8p4, and 4.3.x before 4.3.77 allows remote authenticated users to possibly execute arbitrary code or cause a denial of service (crash) via ",2017-08-07T20:29:00.777,https://nvd.nist.gov/vuln/detail/CVE-2015-7849,all
CVE-2017-6458,ntp,4.2.8p18,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,Multiple buffer overflows in the ctl_put* functions in NTP before 4.2.8p10 and 4.3.x before 4.3.94 allow remote authenticated users to have unspecified impact via a long variable.,2017-03-27T17:59:00.633,https://nvd.nist.gov/vuln/detail/CVE-2017-6458,all
CVE-2015-7854,ntp-tickadj,4.2.8p18,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"Buffer overflow in the password management functionality in NTP 4.2.x before 4.2.8p4, and 4.3.x before 4.3.77 allows remote authenticated users to cause a denial of service (daemon crash) or possibly ",2017-08-07T20:29:00.917,https://nvd.nist.gov/vuln/detail/CVE-2015-7854,all
CVE-2015-7849,ntp-tickadj,4.2.8p18,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"Use-after-free vulnerability in ntpd in NTP 4.2.x before 4.2.8p4, and 4.3.x before 4.3.77 allows remote authenticated users to possibly execute arbitrary code or cause a denial of service (crash) via ",2017-08-07T20:29:00.777,https://nvd.nist.gov/vuln/detail/CVE-2015-7849,all
CVE-2017-6458,ntp-tickadj,4.2.8p18,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,Multiple buffer overflows in the ctl_put* functions in NTP before 4.2.8p10 and 4.3.x before 4.3.94 allow remote authenticated users to have unspecified impact via a long variable.,2017-03-27T17:59:00.633,https://nvd.nist.gov/vuln/detail/CVE-2017-6458,all
CVE-2020-1171,python3-codecs,3.14.4,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"A remote code execution vulnerability exists in Visual Studio Code when the Python extension loads configuration files after opening a project, aka 'Visual Studio Code Python Extension Remote Code Exe",2020-05-21T23:15:17.897,https://nvd.nist.gov/vuln/detail/CVE-2020-1171,all
CVE-2024-49050,python3-codecs,3.14.4,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Visual Studio Code Python Extension Remote Code Execution Vulnerability,2024-11-12T18:15:45.810,https://nvd.nist.gov/vuln/detail/CVE-2024-49050,all
CVE-2020-1171,python3-compression,3.14.4,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"A remote code execution vulnerability exists in Visual Studio Code when the Python extension loads configuration files after opening a project, aka 'Visual Studio Code Python Extension Remote Code Exe",2020-05-21T23:15:17.897,https://nvd.nist.gov/vuln/detail/CVE-2020-1171,all
CVE-2024-49050,python3-compression,3.14.4,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Visual Studio Code Python Extension Remote Code Execution Vulnerability,2024-11-12T18:15:45.810,https://nvd.nist.gov/vuln/detail/CVE-2024-49050,all
CVE-2020-1171,python3-core,3.14.4,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"A remote code execution vulnerability exists in Visual Studio Code when the Python extension loads configuration files after opening a project, aka 'Visual Studio Code Python Extension Remote Code Exe",2020-05-21T23:15:17.897,https://nvd.nist.gov/vuln/detail/CVE-2020-1171,all
CVE-2024-49050,python3-core,3.14.4,8.8,HIGH,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Visual Studio Code Python Extension Remote Code Execution Vulnerability,2024-11-12T18:15:45.810,https://nvd.nist.gov/vuln/detail/CVE-2024-49050,all
CVE-2016-7543,bash-completion,2.17.0,8.4,HIGH,HIGH,,Bash before 4.4 allows local users to execute arbitrary commands with root privileges via crafted SHELLOPTS and PS4 environment variables.,2017-01-19T20:59:00.470,https://nvd.nist.gov/vuln/detail/CVE-2016-7543,all
CVE-2022-23597,desktop-file-utils,0.28,8.3,HIGH,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H,Element Desktop is a Matrix client for desktop platforms with Element Web at its core. Element Desktop before 1.9.7 is vulnerable to a remote program execution bug with user interaction. The exploit i,2022-02-01T12:15:08.317,https://nvd.nist.gov/vuln/detail/CVE-2022-23597,all
CVE-2024-0761,file,5.47,8.1,HIGH,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,"The File Manager plugin for WordPress is vulnerable to Sensitive Information Exposure in all versions up to, and including, 7.2.1 due to insufficient randomness in the backup filenames, which use a ti",2024-02-05T22:16:04.733,https://nvd.nist.gov/vuln/detail/CVE-2024-0761,all
CVE-2016-3989,ntp,4.2.8p18,8.1,HIGH,HIGH,,"The NTP time-server interface on Meinberg IMS-LANTIME M3000, IMS-LANTIME M1000, IMS-LANTIME M500, LANTIME M900, LANTIME M600, LANTIME M400, LANTIME M300, LANTIME M200, LANTIME M100, SyncFire 1100, and",2016-07-03T14:59:05.523,https://nvd.nist.gov/vuln/detail/CVE-2016-3989,all
